?x1 -> jew, ?x2 -> trespassboxmonasteryf, ?x3 -> earthquakesdumainlaundresshoamantlestevilprovisionbedaubexpirstomacherspleadinghawthorngratesp, ?x4 -> f
?x1 -> pain, ?x2 -> toothpickerpresentlysustainingbelongingscapeappurtenancefaysolicitingscisternspacedeepestcoup, ?x3 -> corkyparsonexactingbenn, ?x4 -> co
?x1 -> defen, ?x2 -> unex, ?x3 -> stridepraisebla, ?x4 -> pr
?x1 -> dreadful, ?x2 -> prologuesstrungthoroughlyexcusquoterecanterpetitionerssuitorscaptivateddimsdreamtaffi, ?x3 -> dotedbanegoldleanprodigiescomfecttranscendencehumanpill, ?x4 -> c
?x1 -> perspective, ?x2 -> victoriesancestryretireszwaggertrotspendthriftmarriesbiancarestrai, ?x3 -> grayglasseclipsobey, ?x4 -> re
?x1 -> antiqua, ?x2 -> doomsdaytalkersfirfoliobedsmustyplaysvirginityproper, ?x3 -> neatsubscribesdispongesnakemainmastgrantfosterwoodbinewantlambsaccordingimpostorpr, ?x4 -> s
?x1 -> shortthirstinginjunctionslamentsnicerdescendingdishevelle, ?x2 -> leandercalamitiesstruckenwhelptalkedservantsrattleargomanaclesswaddlingtardinessbruisursulac, ?x3 -> n, ?x4 -> di
?x1 -> alleyafricpennyglancedtamesfashionsdreaddamndow, ?x2 -> metresoursireturbanblamrestraincozenerbowstringreprovingnamesassayboorfestoratorsinteriorattendan, ?x3 -> fatedembraced, ?x4 -> su
?x1 -> battbutcheriesroomfistfructifywrapshrugsdirectionscouplesabsentstrayscoupletshighwayshadow, ?x2 -> hearersobstinatelywhistlespearssolidaresbuoyprovesdiale, ?x3 -> dovesdilemmausheringwomenun, ?x4 -> t
?x1 -> mappmalefactorlampssiegedislikechangedcourtesyperformancessalvlosernurserygrainedconvenienceneg, ?x2 -> juliettaoutgoesemploymentsnevdeceitfulrelentingroyaltyly, ?x3 -> cutguestp, ?x4 -> l
?x1 -> understandcuttingarematterwillserrandspatejunedoublepomande, ?x2 -> hairfettercompl, ?x3 -> discre, ?x4 -> h
?x1 -> fieldswaveringperturbedinflamedoutfac, ?x2 -> helpingexpectationmarcusbestowpaduabridalhypocritewindowsspeechlesstroopingout, ?x3 -> voyagefireworklovekneelinglengthenedtroublousconstancycurrentsvictuallpois, ?x4 -> r
?x1 -> doxyvassalsclaspssubmitssouthwardtractablegrovellinglengthenwarningforagersmessinamistakec, ?x2 -> thirdminutegalleysoutwardlymaidhood, ?x3 -> revenueunkindsupportercharacteredowlgametenfoldwinkcophetuashiveringcom, ?x4 -> h
?x1 -> forefingerbeheldpinelosssuffigance, ?x2 -> barefacsinglenessgargonegodlikelowesttastesnortherlybattrangingfeastspossibleavengdelphos, ?x3 -> orderlessproclaimsanchoringthreadweddingpriorie, ?x4 -> p
?x1 -> guineamarriedundertakeingnosepantlerprimywondersinfirmities, ?x2 -> memorieslacksp, ?x3 -> deckscarsinsomuchnutrimentdearersorrowsseamenwretc, ?x4 -> l
?x1 -> giversvailfoulnessreputingcouchnereidesuns, ?x2 -> wantoninvitingusurersstoppoppositeglazinduesunsworndisposersewerfeederrecalledargalelementsbalthas, ?x3 -> defacerbalmcouchedbilletsacuteplastmodobeatenobid, ?x4 -> m
?x1 -> authorsq, ?x2 -> lozelhereticshapelesssplintersupportersfootingunhousedtrifledisguisesadnesspriori, ?x3 -> quakeeitheroutragesslidingscimi, ?x4 -> s
?x1 -> swordsmowssuccessorsunhappilyabruptionvergerugbyv, ?x2 -> plungedc, ?x3 -> verityw, ?x4 -> in
?x1 -> fulsomerevealconstrainttestimoniesmarvinsinuatethprofessionerewhileneighboursgrossersu, ?x2 -> shrewdroyaltiesunvexparsonhospitablesatchelpartakerinfoldpersuadesshearsugges, ?x3 -> intermixhugeroeoutinnocencepullingdisgorgeclipgirtembracesgrecianstotteredunattaintedcatlikere, ?x4 -> c
?x1 -> answerablefrancecrosslybellowscomparedsupportedlambsbelliesepicurismreproachupholdethcooke, ?x2 -> likesworriesparrotrepealsforgerydisdainingpantaloonhornssquirrelevidencesphysic, ?x3 -> riseclippingwelshmenurgentwrappis, ?x4 -> r
?x1 -> prevailethjeopardydisgracetalentso, ?x2 -> deposeregardsmovespantsaccusingfardelbridegroomsbargulusshortnessripquartaffectio, ?x3 -> asquintc, ?x4 -> f
?x1 -> frequentfath, ?x2 -> groptesterbattaliaimperiousneighbo, ?x3 -> meeterripendilemmacobblerthereofpresentmentnoblenessbellsbrabbler, ?x4 -> c
?x1 -> blacknessblasphemypeasantssparklingbeseemremovesweedingbr, ?x2 -> tiesshippowerlessposternschestsmounseu, ?x3 -> breathedcronejessesmanifoldreportdotedprankscomp, ?x4 -> hu
?x1 -> fewnesscrampcuratedeliveredbuildingoctaviuspoetcher, ?x2 -> yearnsmonarchsspecialtiesinconvenientinterruptionentreatiescompassionateforfeit, ?x3 -> corampredeceasemoderatelyscoreframedprope, ?x4 -> sh
?x1 -> sunkh, ?x2 -> wilderechomissingarrayboskosdestintransformationscloggingenlargethoccupyhandsomelyevidenc, ?x3 -> peltingservingdreaminghoverpulpitparthiaunfamextremelyjusti, ?x4 -> pr
?x1 -> conjuncteasesredoubteddominesalutationgarishearperusant, ?x2 -> heydaymonthsmaidenheadssolemnizedhearersextemporalchronicledfareratcliffcau, ?x3 -> conjurationpennywort, ?x4 -> in
