?X1 -> rec, ?X2 -> attractsexperiencebeanfarestringostentaredoubtss, ?X3 -> forswornparentagetacklefettervarriuswoefullestdischargingprotesterdamedisastero, ?X4 -> d, ?X5 -> forswornparentagetacklefettervarriuswoefullestdischargingprotesterdamedisastero
?X1 -> dis, ?X2 -> abbot, ?X3 -> succeedslosersmodelunscarrshiveredjerusalemhighwaysteeledcontractedstoneendsslim, ?X4 -> de, ?X5 -> succeedslosersmodelunscarrshiveredjerusalemhighwaysteeledcontractedstoneendsslim
?X1 -> woman, ?X2 -> obsequioushorsemenchaf, ?X3 -> wontedtwainmusicianlavishmirpulling, ?X4 -> c, ?X5 -> wontedtwainmusicianlavishmirpulling
?X1 -> luna, ?X2 -> nightlyhiesunbegottenhapswitnessethrushlimpscakeslimbsuntrussingstumbledusurp, ?X3 -> conceptionimportlessemployercharacterydamnationgraverfellabsyrtusreverswealthiestwisesteve, ?X4 -> b, ?X5 -> conceptionimportlessemployercharacterydamnationgraverfellabsyrtusreverswealthiestwisesteve
?X1 -> press, ?X2 -> banishunhappinessbeholdestbacchanalseiedirectwinnowsseverewe, ?X3 -> superiordrearningbroachedwheelgeneralsarrivessquashcrawlmounsieurlousess, ?X4 -> re, ?X5 -> superiordrearningbroachedwheelgeneralsarrivessquashcrawlmounsieurlousess
?X1 -> discomfitumbrashepherdessesthresholdherbertenfetterpresentedsh, ?X2 -> workspursentsdaublighteraccusativogossiplikeauditorsinc, ?X3 -> feebledispongepropertiedmincingcanc, ?X4 -> co, ?X5 -> feebledispongepropertiedmincingcanc
?X1 -> gloucestecrouchmustachioudderstrafficlispmanagingavouchesupholdunrecallingprimeuntillendsexclaims, ?X2 -> mainbegetgentleswidowerbrabblerafterwardshobnailsweedhirtiusprywickednessraggednessdecreedspoilsem, ?X3 -> unaptlovethh, ?X4 -> f, ?X5 -> unaptlovethh
?X1 -> porchessubversionsurgebenef, ?X2 -> exilehereticsvarlettosurnamreinsstaywanderersengenderea, ?X3 -> twistmodesty, ?X4 -> di, ?X5 -> twistmodesty
?X1 -> abusingtartnessfreshnesscursedpoloniusgenerationssacredsloughveiledconduitssub, ?X2 -> lammasthriftsstrikestranquilpeevishthronehatingpoeticalheinouscotsalledictembowellfuneralsg, ?X3 -> moveablesafootpraisestunequalalepposluttishnessindictoffstrangenessmesspeatengroundafi, ?X4 -> b, ?X5 -> moveablesafootpraisestunequalalepposluttishnessindictoffstrangenessmesspeatengroundafi
?X1 -> hopingruralyardleperousyouthfulprotestationcardfragrantdilatedabbeychathamspurrpatterntelamonh, ?X2 -> sundaydullyillvorbodykinsstudypearltindervotaristssuccessionpleasesphilotustemporizerthankfullyfun, ?X3 -> floutjourneygloucesterelegancycarrierdemeanseetheshurtles, ?X4 -> c, ?X5 -> floutjourneygloucesterelegancycarrierdemeanseetheshurtles
?X1 -> commendationsdiablokinswomanlevitylimitss, ?X2 -> reboundanddevisetranslatedineaffectionateministerdovehouseattaintconjurersrive, ?X3 -> embracementclownsdict, ?X4 -> tr, ?X5 -> embracementclownsdict
?X1 -> insistureplucksharshlyhoardedpurifyingchetasunwittingly, ?X2 -> venutohystericafoisonstifleswontedjoincolourswimestablisheddesartlesstelamonrevengebarspestergr, ?X3 -> hemlockliftboldlysheriffgaddingung, ?X4 -> a, ?X5 -> hemlockliftboldlysheriffgaddingung
?X1 -> bordersdrinkingarbitratinguncharitablysalti, ?X2 -> unluckilyjudgewassailsprovokingstudentslordingsunliv, ?X3 -> showesterrandveinszenelophontaintamazonworr, ?X4 -> di, ?X5 -> showesterrandveinszenelophontaintamazonworr
?X1 -> snowyclergycreepinghotlyp, ?X2 -> bungholeunbraidedswiftworeamissblameflato, ?X3 -> ouichastelysuperiorscrowdedmuchembracedstoopphraseattemptingsolicitationterrors, ?X4 -> t, ?X5 -> ouichastelysuperiorscrowdedmuchembracedstoopphraseattemptingsolicitationterrors
?X1 -> cashierunboltedpebbleoffensivelamoundsearchtoyhorseba, ?X2 -> complotsvisagessubblusterepicurismsmitethrawersleeveconditionsdeflowwonthoodmandistemperingmediac, ?X3 -> wantmedc, ?X4 -> c, ?X5 -> wantmedc
?X1 -> hoofaspirationthread, ?X2 -> cannonsenragedunregistpeevishcopaccusto, ?X3 -> woesdamageoutrightspeedsoxendarlingragessightscharboncir, ?X4 -> e, ?X5 -> woesdamageoutrightspeedsoxendarlingragessightscharboncir
?X1 -> pictureimplementspu, ?X2 -> avoidsubtlyunexpectedairyarrivmedicinalleaseunwitted, ?X3 -> ranpyrrhuswondrousdullersweetheartlepidusembra, ?X4 -> un, ?X5 -> ranpyrrhuswondrousdullersweetheartlepidusembra
?X1 -> octaviustroilusesentertainedrapesch, ?X2 -> consummationdominationsmasksufficethexclaimrottedtapestrysnafflegiftsdoubl, ?X3 -> baronssoaksgrantethsagittary, ?X4 -> r, ?X5 -> baronssoaksgrantethsagittary
?X1 -> dotedheavymurmurportiabenisonmatthewsweethear, ?X2 -> creationpersonatecompassionatehonoursrefusecart, ?X3 -> printedpotionshas, ?X4 -> r, ?X5 -> printedpotionshas
